FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
FioChecker apply args: [FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=null, access_date=2024-05-15 09:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 09:15:25, user1, Иванов иван иванович, chrome], id=null, username=null, application=chrome, fio=Иванов иван иванович, access_date=2024-05-15 09:15:25.0)
Thu Jul 11 22:33:21 MSK 2024 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=null, access_date=2024-05-15 08:15:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:15:25, user1, Иванов иван иванович, mobile], id=null, username=null, application=mobile, fio=Иванов иван иванович, access_date=2024-05-15 08:15:25.0)
Thu Jul 11 22:33:21 MSK 2024 org.example.checkers.FioChecker apply input args: [FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=null, access_date=2024-05-15 08:16:25.0)]  result = FlatLoginHistory(authorizations=[2024-05-15, 08:16:25, admin, Сергеев сергей Сергеевич, desktop], id=null, username=null, application=desktop, fio=Сергеев сергей Сергеевич, access_date=2024-05-15 08:16:25.0)
